Topic,Category2,Date,Sentiment,Sentiment_YoY_Growth,Frequency,Frequency_YoY_Growth,Trending_Score,Perspective,Category1,Country,Novelty_Score
Bacon,soda,last year,-0.296,-29.6,0,-0.75,0.0,Ingredient,Beverage,Canada,8.589969
Cherry,soda,last 3 month,0.6124,61.239998,0,-0.6666667,0.0,Ingredient,Beverage,Canada,8.834928
Ice,soda,last year,0.0,0.0,0,-0.6666667,0.0,Ingredient,Beverage,Canada,8.834928
Ice Cream,soda,last 6 month,0.8388,83.880005,0,-0.75,0.0,Ingredient,Beverage,Canada,8.589969
Juice,soda,last 3 month,0.3612,-1.7671007,2,-0.25,0.0,Ingredient,Beverage,Canada,8.589969
#TalkAt9,tonic,last year,0.5267,52.670002,0,-0.6666667,0.0,Hashtag,Beverage,Canada,8.834928
#bluehenntonic,tonic,last 6 month,0.0,0.0,2,2.0,0.0,Hashtag,Beverage,Canada,8.834928
#developerlife,tonic,last 6 month,0.6369,63.690002,0,-0.6666667,0.0,Hashtag,Beverage,Canada,8.834928
#gin&tonic,tonic,last 6 month,0.0,0.0,2,2.0,0.0,Hashtag,Beverage,Canada,8.834928
@michellevisage,tonic,last month,-0.2942,-29.42,0,-0.75,0.0,Hashtag,Beverage,Canada,8.589969
Gin,tonic,last month,-0.65926665,-65.92667,0,-0.8,0.0,Ingredient,Beverage,Canada,8.589969
Rosemary,tonic,last year,0.0,-1.0423371,2,2.0,0.0,Ingredient,Beverage,Canada,8.834928
#CherryCoke,ginger ale,last year,0.7184,71.84,0,-0.6666667,0.0,Hashtag,Beverage,Canada,8.834928
#djent,ginger ale,last year,0.5067,50.67,0,-0.6666667,0.0,Hashtag,Beverage,Canada,8.834928
@Wendys,ginger ale,last year,0.0,-0.9897162,2,2.0,0.0,Hashtag,Beverage,Canada,8.834928
Alfredo,ginger ale,last 3 month,0.0,-0.9786689,2,2.0,0.0,Brand,Beverage,Canada,8.834928
Cranberry Juice,ginger ale,last 3 month,0.0,-1.1488096,2,2.0,0.0,Ingredient,Beverage,Canada,8.834928
Creamy,ginger ale,last year,0.0,-0.9786689,2,2.0,0.0,Motivation,Beverage,Canada,8.834928
Flavoring,ginger ale,last year,0.0,0.0,2,2.0,0.0,Ingredient,Beverage,Canada,8.834928
Sweet Pickles,ginger ale,last 6 month,0.0,-0.90966576,2,2.0,0.0,Ingredient,Beverage,Canada,8.834928
Wine,ginger ale,last year,0.0,-0.9838788,2,2.0,0.0,Ingredient,Beverage,Canada,8.834928
#Obesity,soda,last year,0.0,-1.0379939,2,2.0,0.0,Hashtag,Beverage,Canada,8.834928
Apple,soda,last year,-0.7351,-1.8814733,2,0.0,0.0,Ingredient,Beverage,Canada,8.834928
Basil,soda,last year,0.0,0.0,2,2.0,0.0,Ingredient,Beverage,Canada,8.834928
Cheddar Cheese,soda,last year,0.8743,87.43,0,-0.6666667,0.0,Ingredient,Beverage,Canada,8.834928
Chocolate,soda,last year,0.0,-1.01104,2,2.0,0.0,Ingredient,Beverage,Canada,8.834928
Fresh Mint,soda,last year,0.0,-0.98968965,2,2.0,0.0,Ingredient,Beverage,Canada,8.834928
Hot,soda,last year,0.636,63.6,0,-0.6666667,0.0,Ingredient,Beverage,Canada,8.834928
Juice,soda,last year,0.3612,-1.7671007,2,-0.25,0.0,Ingredient,Beverage,Canada,8.589969
Lime,soda,last 6 month,0.296,29.6,0,-0.8,0.0,Ingredient,Beverage,Canada,8.589969
Rolls,soda,last year,0.0772,7.7200003,0,-0.6666667,0.0,Ingredient,Beverage,Canada,8.834928
#RealColumbiaSC,tonic,last 3 month,0.0,-0.9807914,2,2.0,0.0,Hashtag,Beverage,Canada,8.834928
@altamc,tonic,last year,0.5267,52.670002,0,-0.6666667,0.0,Hashtag,Beverage,Canada,8.834928
Fresh,tonic,last 6 month,0.0,-0.98876655,3,3.0,0.0,Ingredient,Beverage,Canada,
Water,tonic,last year,0.3612,36.12,0,-0.6666667,0.0,Ingredient,Beverage,Canada,8.834928
#gingerale,ginger ale,last year,0.0,-0.96953076,2,2.0,0.0,Hashtag,Beverage,Canada,8.834928
#lightingdesign,ginger ale,last year,0.7263,72.63,0,-0.75,0.0,Hashtag,Beverage,Canada,7.6868787
@pepsi,ginger ale,last year,0.0,-0.9842767,2,2.0,0.0,Hashtag,Beverage,Canada,8.834928
Cheese,ginger ale,last year,0.0,-0.90966576,2,2.0,0.0,Ingredient,Beverage,Canada,8.834928
Cold,ginger ale,last 6 month,0.0,-0.9879169,2,2.0,0.0,Ingredient,Beverage,Canada,8.834928
Crackers,ginger ale,last 6 month,-0.14304999,-14.304998,0,-0.8333333,0.0,Ingredient,Beverage,Canada,8.589969
Creamy,ginger ale,last 6 month,0.0,-0.9786689,2,2.0,0.0,Motivation,Beverage,Canada,8.834928
Lime,ginger ale,last 6 month,0.0,-0.9879169,2,2.0,0.0,Ingredient,Beverage,Canada,8.834928
Orange,ginger ale,last 6 month,0.0,-1.0182682,2,2.0,0.0,Ingredient,Beverage,Canada,8.834928
Pimento,ginger ale,last 6 month,0.0,-0.90966576,2,2.0,0.0,Ingredient,Beverage,Canada,8.834928
Water,ginger ale,last month,-0.1926,-19.26,2,0.0,0.0,Ingredient,Beverage,Canada,
#community,soda,last year,0.937,93.7,0,-0.6666667,0.0,Hashtag,Beverage,Canada,8.834928
#isolationnation,soda,last 3 month,0.296,29.6,0,-0.8,0.0,Hashtag,Beverage,Canada,8.589969
#win,soda,last 6 month,0.68,68.0,0,-0.75,0.0,Hashtag,Beverage,Canada,8.589969
#win,soda,last year,0.68,68.0,0,-0.75,0.0,Hashtag,Beverage,Canada,8.589969
Brown,soda,last year,-0.5574,-55.739998,0,-0.6666667,0.0,Motivation,Beverage,Canada,8.834928
Carbonated,soda,last 3 month,-0.6705,-67.049995,0,-0.6666667,0.0,Motivation,Beverage,Canada,8.834928
Cold,soda,last year,0.0,-0.97927034,2,2.0,0.0,Ingredient,Beverage,Canada,8.834928
Water,soda,last year,-0.15483332,-1.1710192,8,0.0,0.0,Ingredient,Beverage,Canada,8.589969
#cocktails,tonic,last 6 month,0.8832,88.32,0,-0.75,0.0,Hashtag,Beverage,Canada,8.589969
#spanishgin,tonic,last 6 month,0.0,0.0,2,2.0,0.0,Hashtag,Beverage,Canada,8.834928
#wintersover,tonic,last year,0.0,0.0,2,2.0,0.0,Hashtag,Beverage,Canada,8.834928
@drjoshsc,tonic,last 6 month,0.0,-0.9807914,2,2.0,0.0,Hashtag,Beverage,Canada,8.834928
Ginger,tonic,last year,0.8832,88.32,0,-0.75,0.0,Ingredient,Beverage,Canada,8.589969
Large,tonic,last 3 month,0.0,0.0,0,-0.6666667,0.0,Ingredient,Beverage,Canada,8.834928
#Drinks,ginger ale,last year,0.7184,71.84,0,-0.6666667,0.0,Hashtag,Beverage,Canada,8.834928
#flavors,ginger ale,last year,0.0,0.0,2,2.0,0.0,Hashtag,Beverage,Canada,8.834928
@Wendys,ginger ale,last 3 month,0.0,-0.9897162,2,2.0,0.0,Hashtag,Beverage,Canada,8.834928
Juice,ginger ale,last 6 month,0.0,-1.0127162,2,2.0,0.0,Ingredient,Beverage,Canada,8.834928
Orange,ginger ale,last 3 month,0.0,-1.0182682,2,2.0,0.0,Ingredient,Beverage,Canada,8.834928
Strong,ginger ale,last 3 month,0.5574,55.739998,0,-0.6666667,0.0,Ingredient,Beverage,Canada,8.834928
Apple Juice,soda,last year,0.0,-0.96732026,2,2.0,0.0,Ingredient,Beverage,Canada,8.834928
Carbonated,soda,last year,-0.8037833,-80.37833,0,-0.8,0.0,Motivation,Beverage,Canada,8.834928
Flat,soda,last 6 month,-0.6705,-67.049995,0,-0.6666667,0.0,Motivation,Beverage,Canada,8.834928
Mineral Water,soda,last year,0.6124,61.239998,0,-0.6666667,0.0,Ingredient,Beverage,Canada,8.834928
Orange Soda,soda,last 6 month,-0.5267,-52.670002,0,-0.6666667,0.0,Ingredient,Beverage,Canada,8.834928
Rolls,soda,last month,0.0772,7.7200003,0,-0.6666667,0.0,Ingredient,Beverage,Canada,8.834928
Soda Water,soda,last 6 month,0.0,-0.9881179,3,3.0,0.0,Ingredient,Beverage,Canada,
Sprouts,soda,last year,0.8743,87.43,0,-0.6666667,0.0,Ingredient,Beverage,Canada,8.834928
Wonka,soda,last 6 month,-0.508,-50.800003,0,-0.6666667,0.0,Brand,Beverage,Canada,8.834928
#BunsOut,tonic,last year,0.5267,52.670002,0,-0.6666667,0.0,Hashtag,Beverage,Canada,8.834928
#cocktails,tonic,last year,0.8832,88.32,0,-0.75,0.0,Hashtag,Beverage,Canada,8.589969
@ChairmansUK,tonic,last year,0.8832,88.32,0,-0.75,0.0,Hashtag,Beverage,Canada,8.589969
@DoubleDutchMix,tonic,last year,0.8832,88.32,0,-0.75,0.0,Hashtag,Beverage,Canada,8.589969
@GinFoundry,tonic,last 6 month,0.0,-0.98876655,3,3.0,0.0,Hashtag,Beverage,Canada,
@bbcthree,tonic,last 6 month,-0.2942,-29.42,0,-0.75,0.0,Hashtag,Beverage,Canada,8.589969
Fever Tree,tonic,last 6 month,0.0,-1.0423371,2,2.0,0.0,Brand,Beverage,Canada,8.834928
#DietCoke,ginger ale,last month,0.0,0.0,0,-0.6666667,0.0,Hashtag,Beverage,Canada,8.834928
#DreBanksWorld,ginger ale,last year,0.802,80.2,0,-0.6666667,0.0,Hashtag,Beverage,Canada,8.834928
Cavalier,ginger ale,last year,0.6259,62.589996,0,-0.8,0.0,Brand,Beverage,Canada,7.6868787
Diet Coke,ginger ale,last year,0.0,-0.9663677,6,0.4,0.0,Brand,Beverage,Canada,
Flat,ginger ale,last year,0.0,0.0,0,-0.6666667,0.0,Motivation,Beverage,Canada,8.834928
French,ginger ale,last 3 month,0.0,0.0,0,-0.75,0.0,Motivation,Beverage,Canada,8.589969
Honey,ginger ale,last year,0.0,0.0,0,-0.6666667,0.0,Ingredient,Beverage,Canada,8.834928
Latino,ginger ale,last year,0.0,0.0,0,-0.6666667,0.0,Motivation,Beverage,Canada,8.834928
Sole,ginger ale,last 6 month,0.0,-0.97306037,2,2.0,0.0,Ingredient,Beverage,Canada,8.834928
Sugar,ginger ale,last year,0.0,-0.97682506,2,2.0,0.0,Ingredient,Beverage,Canada,8.834928
Tortellini,ginger ale,last year,-0.5719,-57.190002,0,-0.6666667,0.0,Ingredient,Beverage,Canada,8.834928
#FitLife,soda,last year,0.0,-0.97656983,2,2.0,0.0,Hashtag,Beverage,Canada,8.834928
#RefreshingByNature,soda,last 3 month,0.0,-0.986969,2,2.0,0.0,Hashtag,Beverage,Canada,8.834928
@RootdHealth,soda,last year,0.68,68.0,0,-0.75,0.0,Hashtag,Beverage,Canada,8.589969
Seltzer,soda,last 3 month,-0.6705,-67.049995,0,-0.6666667,0.0,Ingredient,Beverage,Canada,8.834928
Tomato,soda,last year,0.8743,87.43,0,-0.6666667,0.0,Ingredient,Beverage,Canada,8.834928
#tiqaportland,tonic,last year,0.0,-1.0423371,2,2.0,0.0,Hashtag,Beverage,Canada,8.834928
@EpicFoundSA,tonic,last year,0.5267,52.670002,0,-0.6666667,0.0,Hashtag,Beverage,Canada,8.834928
Fresh,tonic,last year,0.0,-0.98876655,3,3.0,0.0,Ingredient,Beverage,Canada,
#DietCoke,ginger ale,last 6 month,0.0,0.0,0,-0.6666667,0.0,Hashtag,Beverage,Canada,8.834928
#drummer,ginger ale,last year,0.5067,50.67,0,-0.6666667,0.0,Hashtag,Beverage,Canada,8.834928
@Wendys,ginger ale,last 6 month,0.0,-0.9897162,2,2.0,0.0,Hashtag,Beverage,Canada,8.834928
Cake,ginger ale,last year,0.0,-0.98589367,4,4.0,0.0,Ingredient,Beverage,Canada,8.834928
Cola,ginger ale,last year,0.0,-0.90966576,2,2.0,0.0,Ingredient,Beverage,Canada,8.834928
Cold,ginger ale,last year,-0.5719,-1.6789511,2,0.0,0.0,Ingredient,Beverage,Canada,8.834928
Diet,ginger ale,last month,-0.1926,-19.26,0,-0.6666667,0.0,Motivation,Beverage,Canada,8.834928
Icing,ginger ale,last year,0.0,-0.9842767,2,2.0,0.0,Ingredient,Beverage,Canada,8.834928
Soda,ginger ale,last 6 month,0.0,-0.983482,2,2.0,0.0,Ingredient,Beverage,Canada,7.6868787
Water,ginger ale,last 3 month,-0.1926,-19.26,2,0.0,0.0,Ingredient,Beverage,Canada,
Water,ginger ale,last 6 month,-0.1926,-19.26,2,0.0,0.0,Ingredient,Beverage,Canada,
#CLGWIN,soda,last year,0.0,0.0,0,-0.6666667,0.0,Hashtag,Beverage,Canada,8.834928
#NOTANAD,soda,last 3 month,0.296,29.6,0,-0.8,0.0,Hashtag,Beverage,Canada,8.589969
@homejobsbymom,soda,last 6 month,0.68,68.0,0,-0.75,0.0,Hashtag,Beverage,Canada,8.589969
Human,soda,last year,0.937,93.7,0,-0.6666667,0.0,Motivation,Beverage,Canada,8.834928
Red,soda,last year,0.0,-0.9664204,4,4.0,0.0,Ingredient,Beverage,Canada,8.834928
Shake,soda,last 3 month,0.0003375113,0.03375113,0,-0.8333333,0.0,Motivation,Beverage,Canada,8.589969
Vanilla,soda,last year,0.128,12.8,0,-0.6666667,0.0,Ingredient,Beverage,Canada,8.834928
Cranberry,tonic,last year,0.8832,88.32,0,-0.75,0.0,Ingredient,Beverage,Canada,8.589969
Orange,tonic,last 6 month,0.0,-0.98876655,3,3.0,0.0,Ingredient,Beverage,Canada,
Squash,tonic,last year,0.0,-1.0224266,2,2.0,0.0,Ingredient,Beverage,Canada,8.834928
#DietCoke,ginger ale,last year,0.0,0.0,0,-0.6666667,0.0,Hashtag,Beverage,Canada,8.834928
#VIPjuggz,ginger ale,last year,0.0,-1.0213538,2,2.0,0.0,Hashtag,Beverage,Canada,8.834928
#weworksummercamp,ginger ale,last year,0.0,0.0,2,2.0,0.0,Hashtag,Beverage,Canada,8.834928
@SherwoodChurch,ginger ale,last year,0.7964,79.64,0,-0.6666667,0.0,Hashtag,Beverage,Canada,8.834928
Cake,ginger ale,last 6 month,0.0,-0.9786689,2,2.0,0.0,Ingredient,Beverage,Canada,8.834928
French,ginger ale,last year,0.0,0.0,0,-0.75,0.0,Motivation,Beverage,Canada,8.589969
Sweet Pickles,ginger ale,last year,0.0,-0.90966576,2,2.0,0.0,Ingredient,Beverage,Canada,8.834928
#Pregnancy,soda,last year,0.0,-1.0379939,2,2.0,0.0,Hashtag,Beverage,Canada,8.834928
@GFuelEnergy,soda,last year,-0.7351,-73.509995,0,-0.6666667,0.0,Hashtag,Beverage,Canada,8.834928
@homejobsbymom,soda,last 3 month,0.68,68.0,0,-0.75,0.0,Hashtag,Beverage,Canada,8.589969
Carbonated,soda,last 6 month,-0.6705,-67.049995,0,-0.6666667,0.0,Motivation,Beverage,Canada,8.834928
Coke,soda,last 6 month,0.8687,86.87,0,-0.6666667,0.0,Ingredient,Beverage,Canada,8.834928
Cola,soda,last year,-0.34,-34.0,0,-0.6666667,0.0,Ingredient,Beverage,Canada,
Star Wars,soda,last year,0.0,-0.95289683,2,2.0,0.0,Brand,Beverage,Canada,8.834928
#RapeSurvivors,tonic,last year,0.5267,52.670002,0,-0.6666667,0.0,Hashtag,Beverage,Canada,8.834928
#chairmansreserve,tonic,last year,0.8832,88.32,0,-0.75,0.0,Hashtag,Beverage,Canada,8.589969
#ginandtonic,tonic,last year,0.0,-1.0423371,2,2.0,0.0,Hashtag,Beverage,Canada,8.834928
@BrightClubMcr,tonic,last year,0.4926,49.26,0,-0.75,0.0,Hashtag,Beverage,Canada,7.6868787
@bbcquestiontime,tonic,last 6 month,0.0,0.0,2,2.0,0.0,Hashtag,Beverage,Canada,8.834928
@columbiasc,tonic,last 3 month,0.0,-0.9807914,2,2.0,0.0,Hashtag,Beverage,Canada,8.834928
@michellevisage,tonic,last 3 month,-0.2942,-29.42,0,-0.75,0.0,Hashtag,Beverage,Canada,8.589969
Angostura Bitters,tonic,last year,0.0,-1.0423371,2,2.0,0.0,Ingredient,Beverage,Canada,8.834928
Tonic,tonic,last 6 month,0.16485715,0.010058872,16,-0.10526316,0.0,Ingredient,Beverage,Canada,8.589969
Vodka,tonic,last year,0.0,-1.0145494,4,4.0,0.0,Ingredient,Beverage,Canada,8.834928
#rock,ginger ale,last year,0.5067,50.67,0,-0.6666667,0.0,Hashtag,Beverage,Canada,8.834928
#wine,ginger ale,last year,0.0,-0.9838788,2,2.0,0.0,Hashtag,Beverage,Canada,8.834928
@Jaguars,ginger ale,last year,0.0,-0.90966576,2,2.0,0.0,Hashtag,Beverage,Canada,8.834928
@OutwavesMA,ginger ale,last year,0.5067,50.67,0,-0.6666667,0.0,Hashtag,Beverage,Canada,8.834928
Imagine,ginger ale,last 6 month,0.0,0.0,0,-0.6666667,0.0,Brand,Beverage,Canada,8.834928
Imagine,ginger ale,last year,0.0,0.0,0,-0.6666667,0.0,Brand,Beverage,Canada,8.834928
Tequila,ginger ale,last 6 month,0.636,63.6,0,-0.75,0.0,Ingredient,Beverage,Canada,8.589969
#Klarbrunn4Life,soda,last year,0.4404,44.04,0,-0.75,0.0,Hashtag,Beverage,Canada,7.6868787
#beverage,soda,last year,0.0,-0.98968965,2,2.0,0.0,Hashtag,Beverage,Canada,8.834928
#whynot,soda,last year,0.0,-0.97927034,2,2.0,0.0,Hashtag,Beverage,Canada,8.834928
Cherry,soda,last year,0.34994286,34.994286,0,-0.8,0.0,Ingredient,Beverage,Canada,8.834928
Fresh Lime,soda,last year,0.0,-0.98968965,2,2.0,0.0,Ingredient,Beverage,Canada,8.834928
Onion,soda,last year,1.1695334,116.95334,0,-0.8,0.0,Ingredient,Beverage,Canada,8.834928
Tomato,soda,last 6 month,0.8743,87.43,0,-0.6666667,0.0,Ingredient,Beverage,Canada,8.834928
Wonka,soda,last year,-0.508,-50.800003,0,-0.6666667,0.0,Brand,Beverage,Canada,8.834928
#tiqaportland,tonic,last 6 month,0.0,-1.0423371,2,2.0,0.0,Hashtag,Beverage,Canada,8.834928
Angostura Bitters,tonic,last 3 month,0.0,-1.0423371,2,2.0,0.0,Ingredient,Beverage,Canada,8.834928
Cinnamon,tonic,last year,0.0,-0.98876655,3,3.0,0.0,Ingredient,Beverage,Canada,
Dry,tonic,last year,0.0,-1.0162628,7,7.0,0.0,Motivation,Beverage,Canada,
Large,tonic,last year,0.0,0.0,0,-0.6666667,0.0,Ingredient,Beverage,Canada,8.834928
#lasertag,ginger ale,last year,0.0,-0.9838788,2,2.0,0.0,Hashtag,Beverage,Canada,8.834928
@Jaguars,ginger ale,last 6 month,0.0,-0.90966576,2,2.0,0.0,Hashtag,Beverage,Canada,8.834928
Alfredo,ginger ale,last 6 month,0.0,-0.9786689,2,2.0,0.0,Brand,Beverage,Canada,8.834928
Inca,ginger ale,last 6 month,0.0,-0.983482,2,2.0,0.0,Brand,Beverage,Canada,8.834928
Juice,ginger ale,last 3 month,0.0,-1.0127162,2,2.0,0.0,Ingredient,Beverage,Canada,8.834928
Orange,ginger ale,last year,0.0,-1.0245068,4,4.0,0.0,Ingredient,Beverage,Canada,8.834928
Sonic,ginger ale,last year,-0.8442,-84.42,0,-0.75,0.0,Brand,Beverage,Canada,7.6868787
#delicious,soda,last year,0.0,-0.97927034,2,2.0,0.0,Hashtag,Beverage,Canada,8.834928
Coca Cola,soda,last 6 month,0.025799999,2.58,0,-0.6666667,0.0,Brand,Beverage,Canada,8.834928
My Favorite,soda,last year,0.0,-0.9881179,3,3.0,0.0,Brand,Beverage,Canada,
Squid,soda,last 3 month,0.0,-1.030303,2,2.0,0.0,Ingredient,Beverage,Canada,8.834928
Water,soda,last 3 month,0.0152875185,-0.95399344,4,0.0,0.0,Ingredient,Beverage,Canada,8.589969
#MarchMadness,tonic,last year,0.0,-0.9807914,2,2.0,0.0,Hashtag,Beverage,Canada,8.834928
#SimplyAmazing,tonic,last year,0.5859,58.59,0,-0.6666667,0.0,Hashtag,Beverage,Canada,8.834928
#gin&tonic,tonic,last 3 month,0.0,0.0,2,2.0,0.0,Hashtag,Beverage,Canada,8.834928
#scicomm,tonic,last year,0.4926,49.26,0,-0.75,0.0,Hashtag,Beverage,Canada,7.6868787
#wintersover,tonic,last 3 month,0.0,0.0,2,2.0,0.0,Hashtag,Beverage,Canada,8.834928
@craftandcochest,tonic,last year,0.8832,88.32,0,-0.75,0.0,Hashtag,Beverage,Canada,8.589969
@liamsteevenson,tonic,last year,0.0,-0.98953426,3,3.0,0.0,Hashtag,Beverage,Canada,
Rum,tonic,last 6 month,0.8832,88.32,0,-0.75,0.0,Ingredient,Beverage,Canada,8.589969
Squash,tonic,last 6 month,0.0,-1.0224266,2,2.0,0.0,Ingredient,Beverage,Canada,8.834928
Stick,tonic,last 6 month,0.0,-0.98876655,3,3.0,0.0,Motivation,Beverage,Canada,
#imnotchubby,ginger ale,last year,0.0,-0.97732425,2,2.0,0.0,Hashtag,Beverage,Canada,8.834928
#interiordesign,ginger ale,last year,0.7263,72.63,0,-0.75,0.0,Hashtag,Beverage,Canada,7.6868787
Coca Cola,ginger ale,last year,0.7184,71.84,0,-0.6666667,0.0,Brand,Beverage,Canada,8.834928
Human,ginger ale,last year,0.0,0.0,2,2.0,0.0,Motivation,Beverage,Canada,8.834928
Whiskey,ginger ale,last year,0.0,0.0,2,2.0,0.0,Ingredient,Beverage,Canada,8.834928
#WorldWaterDay2019,soda,last year,0.0,-0.986969,2,2.0,0.0,Hashtag,Beverage,Canada,8.834928
#humanhappiness,soda,last year,0.937,93.7,0,-0.6666667,0.0,Hashtag,Beverage,Canada,8.834928
@homejobsbymom,soda,last year,0.68,68.0,0,-0.75,0.0,Hashtag,Beverage,Canada,8.589969
Cherry Vodka,soda,last year,0.0,0.0,0,-0.6666667,0.0,Ingredient,Beverage,Canada,8.834928
My Favorite,soda,last 6 month,0.0,-0.9881179,3,3.0,0.0,Brand,Beverage,Canada,
Vodka,soda,last 3 month,0.296,29.6,0,-0.8,0.0,Ingredient,Beverage,Canada,8.589969
Vodka,soda,last year,0.296,-0.65645,2,-0.4,0.0,Ingredient,Beverage,Canada,8.589969
@CAEAirport,tonic,last 6 month,0.0,-0.9807914,2,2.0,0.0,Hashtag,Beverage,Canada,8.834928
@CenterParcsUK,tonic,last year,0.0,-0.98953426,3,3.0,0.0,Hashtag,Beverage,Canada,
@ReisePferdich,tonic,last 6 month,0.0,-1.019976,3,3.0,0.0,Hashtag,Beverage,Canada,7.6868787
@drjoshsc,tonic,last year,0.0,-0.9807914,2,2.0,0.0,Hashtag,Beverage,Canada,8.834928
Rum,tonic,last year,0.8832,88.32,0,-0.75,0.0,Ingredient,Beverage,Canada,8.589969
Tonic Water,tonic,last year,0.761625,-2.2291589,11,1.4,0.0,Ingredient,Beverage,Canada,
#haveyouseenmyjuggz,ginger ale,last year,0.0,-1.0213538,2,2.0,0.0,Hashtag,Beverage,Canada,8.834928
Cherry,ginger ale,last year,-0.388,-38.800003,2,-0.5,0.0,Ingredient,Beverage,Canada,7.6868787
Cold Water,ginger ale,last 6 month,0.0,-1.1488096,2,2.0,0.0,Ingredient,Beverage,Canada,8.834928
French,ginger ale,last month,0.0,0.0,0,-0.75,0.0,Motivation,Beverage,Canada,8.589969
Know,ginger ale,last year,0.0,-0.97598463,4,4.0,0.0,Brand,Beverage,Canada,8.834928
Lemon,ginger ale,last 6 month,0.0,-0.9879169,2,2.0,0.0,Ingredient,Beverage,Canada,8.834928
